;pmid;lead_time;is_web_direct;checkin_date_index;stay_length;booking_status;nb_adults;child_presence;eligible_to_earn_points;points;stay_catotal_eur;hotel_brand;hotel_brand_positionning;hotel_rooms;hotel_sales_organisation;hotel_class;hotel_location_type;hotel_continent;hotel_euro_market;environment_type;declared_stay_type;is_all_member;type_member;is_member_ibis_business;is_member_business_plus;is_member_accor_plus;is_meeting_planner;booking_date_year;booking_date_month;booking_date_day_name;booking_date_is_weekend;checkin_date_year;checkin_date_month;checkin_date_day_name;checkin_date_is_weekend;checkout_date_year;checkout_date_month;checkout_date_day_name;checkout_date_is_weekend;gap_bkg_stay_nights
0;1;6.0;1;2;2;A;1.0;0;1;226;249.15;PEPPERS;Luxury and Upscale;87;Pacific;G;Prime Location;PACIFIC;PACIFIC;None;business;1;ALL Gold;0;0;0;0;2021.0;7.0;Sunday;1;2021;4;Tuesday;0;2021;4;Thursday;0;0.0
3;1;12.0;1;2;2;A;1.0;0;1;498;199.02;NOVOTEL;Midscale;213;Pacific;A;Prime Location;PACIFIC;PACIFIC;None;leisure;1;ALL Gold;0;0;0;0;2021.0;2.0;Thursday;0;2021;9;Friday;0;2021;11;Wednesday;0;-1.0
4;1;24.0;1;5;1;A;1.0;0;1;142;113.8;IBIS HOTELS;Economy;243;Pacific;D;Prime Location;PACIFIC;PACIFIC;None;leisure;1;ALL Gold;0;0;0;0;2022.0;7.0;Wednesday;0;2022;1;Friday;0;2022;2;Monday;0;0.0
5;1;11.0;1;7;1;A;1.0;0;1;145;116.06;IBIS HOTELS;Economy;243;Pacific;D;Prime Location;PACIFIC;PACIFIC;None;business;1;ALL Gold;0;0;0;0;2022.0;5.0;Wednesday;0;2022;5;Friday;0;2022;6;Monday;0;0.0
6;1;8.0;1;2;1;A;1.0;0;1;115;126.3;PEPPERS;Luxury and Upscale;87;Pacific;G;Prime Location;PACIFIC;PACIFIC;None;business;1;ALL Gold;0;0;0;0;2021.0;5.0;Monday;0;2021;5;Tuesday;0;2021;5;Wednesday;0;0.0
7;1;4.0;1;1;2;A;1.0;0;1;269;295.31;PEPPERS;Luxury and Upscale;87;Pacific;G;Prime Location;PACIFIC;PACIFIC;None;business;1;ALL Gold;0;0;0;0;2021.0;4.0;Thursday;0;2021;4;Monday;0;2021;4;Wednesday;0;0.0
9;3;23.0;1;3;1;A;1.0;0;1;81;71.1;IBIS STYLES;Economy;62;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2021.0;12.0;Monday;0;2022;12;Thursday;0;2022;1;Thursday;0;0.0
10;3;5.0;1;2;1;A;1.0;0;1;209;92.15;NOVOTEL SUITES;Midscale;124;Southern Europe;G;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2021.0;4.0;Thursday;0;2021;4;Tuesday;0;2021;4;Wednesday;0;0.0
11;3;32.0;1;2;1;A;1.0;0;1;101;89.3;IBIS STYLES;Economy;40;Southern Europe;H;Second Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2021.0;8.0;Friday;0;2021;9;Tuesday;0;2021;9;Wednesday;0;0.0
12;3;23.0;1;3;1;A;1.0;0;1;69;60.3;IBIS STYLES;Economy;91;Southern Europe;E;Second Location;EUROPE;FRANCE;AIRPORT;business;1;ALL Silver;0;0;0;0;2021.0;8.0;Tuesday;0;2021;3;Wednesday;0;2021;1;Monday;0;-1.0
13;3;32.0;1;5;1;A;2.0;0;1;225;98.8;MERCURE;Midscale;53;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Silver;0;0;0;0;2021.0;9.0;Monday;0;2021;10;Friday;0;2021;10;Saturday;1;0.0
14;3;2.0;1;3;1;A;1.0;0;1;87;76.82;IBIS HOTELS;Economy;98;Southern Europe;G;Prime Location;EUROPE;FRANCE;None;business;1;ALL Silver;0;0;0;0;2021.0;12.0;Saturday;1;2021;4;Wednesday;0;2021;4;Thursday;0;0.0
15;3;66.0;1;4;1;A;4.0;0;1;256;226.4;IBIS HOTELS;Economy;62;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Silver;0;0;0;0;2022.0;3.0;Monday;0;2022;5;Thursday;0;2022;5;Friday;0;0.0
16;3;6.0;1;3;1;A;1.0;0;1;91;79.71;IBIS HOTELS;Economy;172;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2021.0;1.0;Monday;0;2021;7;Sunday;1;2021;8;Wednesday;0;-1.0
17;3;23.0;1;3;1;A;1.0;0;1;86;76.0;IBIS STYLES;Economy;86;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2021.0;4.0;Thursday;0;2021;1;Wednesday;0;2021;1;Thursday;0;0.0
18;3;29.0;1;1;1;A;2.0;0;1;86;76.0;IBIS STYLES;Economy;95;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2022.0;3.0;Monday;0;2022;1;Saturday;1;2022;2;Tuesday;0;0.0
19;3;8.0;1;6;1;A;2.0;0;1;103;90.25;IBIS STYLES;Economy;85;Southern Europe;F;Other Location and Suburbs;EUROPE;FRANCE;TOWN;leisure;1;ALL Silver;0;0;0;0;2021.0;8.0;Friday;0;2021;8;Saturday;1;2021;8;Sunday;1;0.0
20;3;18.0;1;2;1;A;1.0;0;1;73;64.51;IBIS HOTELS;Economy;172;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2021.0;12.0;Thursday;0;2021;2;Wednesday;0;2021;3;Wednesday;0;-1.0
21;3;47.0;1;2;1;A;1.0;0;1;186;81.7;MERCURE;Midscale;120;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;business;1;ALL Silver;0;0;0;0;2020.0;3.0;Thursday;0;2021;1;Tuesday;0;2021;1;Wednesday;0;0.0
22;3;21.0;1;2;1;A;1.0;0;1;71;62.42;IBIS STYLES;Economy;58;Southern Europe;X;Unknown Location;EUROPE;FRANCE;None;business;1;ALL Silver;0;0;0;0;2021.0;11.0;Tuesday;0;2021;12;Tuesday;0;2021;12;Wednesday;0;0.0
23;3;24.0;1;3;1;A;1.0;0;1;94;82.65;IBIS STYLES;Economy;86;Southern Europe;D;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Silver;0;0;0;0;2022.0;2.0;Thursday;0;2022;10;Wednesday;0;2022;10;Thursday;0;0.0
24;3;35.0;1;3;1;A;1.0;0;1;93;81.7;IBIS STYLES;Economy;48;Southern Europe;X;Unknown Location;EUROPE;FRANCE;None;business;1;ALL Silver;0;0;0;0;2021.0;10.0;Monday;0;2021;12;Wednesday;0;2021;12;Thursday;0;0.0
26;5;0.0;1;2;1;A;1.0;0;1;124;51.91;MERCURE;Midscale;76;Northern Europe;G;Prime Location;EUROPE;UK&IE;TOWN;leisure;1;ALL Classic;0;0;0;0;2021.0;3.0;Tuesday;0;2021;3;Tuesday;0;2021;3;Wednesday;0;0.0
27;5;0.0;1;7;1;A;2.0;0;1;59;49.61;IBIS HOTELS;Economy;142;Northern Europe;G;Prime Location;EUROPE;UK&IE;TOWN;leisure;1;ALL Classic;0;0;0;0;2021.0;3.0;Sunday;1;2021;3;Sunday;1;2021;3;Monday;0;0.0
28;6;21.0;1;3;1;M;1.0;0;1;389;171.0;MERCURE;Midscale;388;Southern Europe;B;Second Location;EUROPE;FRANCE;None;business;1;ALL Classic;0;0;0;0;2022.0;4.0;Wednesday;0;2022;11;Saturday;1;2022;12;Monday;0;0.0
29;7;2.0;1;2;1;A;2.0;0;1;31;102.34;NOVOTEL;Midscale;140;Northern Europe;A;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Gold;0;0;0;0;2021.0;1.0;Friday;0;2021;3;Monday;0;2021;4;Thursday;0;0.0
33;7;8.0;1;5;2;M;1.0;0;1;519;207.61;MERCURE;Midscale;124;IMEA;D;Prime Location;MIDDLE EAST;MIDDLE EAST;MOUNTAIN;leisure;1;ALL Gold;0;0;0;0;2022.0;3.0;Wednesday;0;2022;11;Wednesday;0;2022;2;Sunday;1;0.0
34;7;102.0;1;5;1;M;1.0;0;1;91;126.3;MERCURE;Midscale;95;Northern Europe;G;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Gold;0;0;0;0;2022.0;4.0;Monday;0;2022;7;Friday;0;2022;7;Saturday;1;0.0
35;7;18.0;1;6;1;A;1.0;0;1;330;145.0;MERCURE;Midscale;100;Southern Europe;G;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Gold;0;0;0;0;2021.0;12.0;Friday;0;2021;10;Saturday;1;2021;10;Sunday;1;-1.0
37;8;35.0;1;5;2;A;2.0;0;1;427;372.0;IBIS HOTELS;Economy;382;Northern Europe;A;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Classic;0;0;0;0;2022.0;4.0;Sunday;1;2022;8;Thursday;0;2022;10;Tuesday;0;0.0
38;9;24.0;1;5;2;A;1.0;0;1;230;202.35;IBIS HOTELS;Economy;102;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Silver;0;0;0;0;2022.0;9.0;Thursday;0;2022;2;Wednesday;0;2022;4;Saturday;1;0.0
39;9;16.0;1;6;2;A;2.0;0;1;674;298.35;MERCURE;Midscale;117;Southern Europe;H;Second Location;EUROPE;FRANCE;SEA;leisure;1;ALL Silver;0;0;0;0;2022.0;1.0;Thursday;0;2022;12;Friday;0;2022;2;Monday;0;0.0
40;9;10.0;0;5;2;M;1.0;0;1;179;157.7;IBIS STYLES;Economy;47;Southern Europe;A;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Silver;0;0;0;0;2021.0;9.0;Tuesday;0;2021;1;Sunday;1;2021;3;Wednesday;0;0.0
43;9;15.0;1;5;2;A;1.0;0;1;187;164.35;IBIS STYLES;Economy;52;Southern Europe;A;Prime Location;EUROPE;FRANCE;TOWN;leisure;1;ALL Silver;0;0;0;0;2022.0;10.0;Monday;0;2022;3;Friday;0;2022;3;Sunday;1;0.0
45;9;27.0;1;5;2;A;1.0;0;1;293;257.46;IBIS HOTELS;Economy;102;Southern Europe;A;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Silver;0;0;0;0;2022.0;4.0;Wednesday;0;2022;1;Friday;0;2022;3;Monday;0;0.0
46;9;31.0;1;4;3;A;2.0;0;1;310;272.65;IBIS HOTELS;Economy;210;Southern Europe;D;Prime Location;EUROPE;FRANCE;None;leisure;1;ALL Silver;0;0;0;0;2021.0;1.0;Monday;0;2021;2;Friday;0;2021;5;Wednesday;0;0.0
49;11;0.0;0;2;3;A;1.0;0;1;203;0.0;IBIS HOTELS;Economy;182;Northern Europe;D;Prime Location;EUROPE;UK&IE;TOWN;leisure;1;ALL Silver;0;0;0;0;2021.0;12.0;Wednesday;0;2021;12;Tuesday;0;2021;12;Friday;0;-2.0
55;13;1.0;1;7;1;A;2.0;0;1;110;97.05;IBIS HOTELS;Economy;83;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2021.0;12.0;Monday;0;2021;6;Sunday;1;2021;6;Monday;0;0.0
56;13;0.0;0;6;1;A;2.0;0;1;127;111.91;IBIS HOTELS;Economy;83;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;6.0;Saturday;1;2022;6;Saturday;1;2022;6;Sunday;1;0.0
57;13;1.0;1;6;1;A;2.0;0;1;118;103.4;IBIS HOTELS;Economy;83;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2021.0;1.0;Sunday;1;2021;2;Wednesday;0;2021;3;Wednesday;0;0.0
58;13;0.0;1;6;1;A;2.0;0;1;101;89.15;IBIS HOTELS;Economy;83;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;2.0;Friday;0;2022;2;Friday;0;2022;3;Friday;0;0.0
59;13;1.0;1;2;1;A;2.0;0;1;97;85.35;IBIS HOTELS;Economy;83;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;2.0;Monday;0;2022;1;Monday;0;2022;2;Thursday;0;0.0
61;13;1.0;1;5;1;A;2.0;0;1;123;108.15;IBIS HOTELS;Economy;83;Southern Europe;H;Second Location;EUROPE;FRANCE;None;leisure;1;ALL Classic;0;0;0;0;2022.0;7.0;Thursday;0;2022;8;Sunday;1;2022;9;Wednesday;0;0.0
68;17;6.0;1;1;4;A;2.0;1;1;1710;752.6;NOVOTEL;Midscale;264;Southern Europe;A;Prime Location;EUROPE;REST OF EUROPE;TOWN;leisure;1;ALL Gold;0;0;0;0;2021.0;8.0;Tuesday;0;2021;8;Monday;0;2021;8;Friday;0;0.0
